month,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
May,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.7,35.7,35.7
Jun,41.0,187.12,239.12,527.16,1030.42,1305.24,1323.57,1935.45,2742.46,2433.31,1560.15,1175.43,1197.48,1407.37,2052.22,2353.04,2294.78,1619.73,1123.88,817.97,1206.53,1041.8,1220.45,1236.3,689.44,415.7,378.7,372.68,435.4,719.09,
Jul,530.24,543.51,575.06,701.95,975.27,1683.56,2309.25,2462.87,1431.28,342.32,297.75,146.0,109.0,511.9,506.65,186.4,,43.0,347.19,208.19,93.4,201.6,203.0,140.14999999999998,110.3,546.1800000000001,1304.85,1786.94,1861.71,950.29,80.27000000000001
Aug,158.05,43.1,80.5,141.84,141.84,,39.0,226.39999999999998,217.89999999999998,230.8,1059.96,1259.1599999999999,654.66,349.36,186.36,147.36,184.0,112.19999999999999,149.6,68.0,147.53,194.78,190.78,237.18,249.0,437.15,404.4,256.0,188.0,188.0,258.4
Sep,579.15,834.38,757.68,433.18,419.25,383.55,428.95,638.75,679.31,517.95,425.7,390.0,471.03,350.03,547.42,547.42,163.97,379.85,502.4,299.25,428.05,507.25,395.25,76.95,108.1,108.1,73.1,387.95,699.6,868.6,
Oct,244.0,208.0,249.0,41.0,602.0,2231.0,2231.0,1347.0,82.0,41.0,41.0,372.0,964.0,964.0,474.0,,,164.0,1342.0,1918.0,1756.0,1041.0,139.0,41.0,271.0,395.0,613.0,613.0,365.0,41.0,41.0
Nov,41.0,62.0,81.0,81.0,52.0,41.0,41.0,41.0,62.0,,,,,,,,,236.0,39.0,,34.0,34.0,74.87,81.67,81.67,39.17,39.16,37.0,37.0,39.0,
Dec,47.0,42.5,,,,,,,,39.0,37.0,37.0,,,,,,,,,,,,,37.0,37.0,,,47.0,47.0,39.0
Jan,37.0,37.0,37.0,39.0,47.0,47.0,,,,,,,,,,,,,,,,,111.0,,,,,,,,
